track_name,track_artist,track_popularity,track_album_name,release_year,song_genre,danceability,energy,key,loudness,mode,speechiness,liveness,valence,tempo,duration,tempo_type,speechiness_type,key_values
Mother - Fedde Le Grand Remix,Charlie Puth,56,Mother (Fedde Le Grand Remix),2019,pop,0.64,0.87,11,-4.75,1,0.04,0.403,0.36,128.09,178,Allegro,No Lyrics,B
Signs - Eden Prince Remix,Starley,56,Signs (Eden Prince Remix),2018,pop,0.7,0.81,0,-7.51,0,0.08,0.374,0.5,121.99,172,Allegro,No Lyrics,C
Ruin My Life - Steve James Remix,Zara Larsson,58,Ruin My Life (Remixes),2018,pop,0.72,0.84,11,-6.49,1,0.04,0.0834,0.64,123.95,177,Allegro,No Lyrics,B
Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),2019,pop,0.74,0.86,0,-5.06,1,0.1,0.241,0.73,125.03,170,Allegro,No Lyrics,C
Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),2019,pop,0.72,0.82,10,-4.12,1,0.05,0.163,0.35,124.97,220,Allegro,No Lyrics,"A♯,B♭"
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),2019,pop,0.75,0.83,1,-5.03,1,0.12,0.0757,0.89,128.02,185,Allegro,No Lyrics,"C♯,D♭"
Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018,pop,0.82,0.83,5,-5.97,1,0.05,0.0625,0.79,122.03,170,Allegro,No Lyrics,F
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018,pop,0.63,0.85,0,-4.05,0,0.04,0.434,0.66,126.03,172,Allegro,No Lyrics,C
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019,pop,0.56,0.81,2,-2.92,1,0.05,0.0846,0.5,129.97,247,Allegro,No Lyrics,D
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),2019,pop,0.73,0.82,11,-2.88,0,0.05,0.101,0.68,124.02,218,Allegro,No Lyrics,B
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019,pop,0.85,0.77,5,-3.5,1,0.05,0.204,0.59,124.01,200,Allegro,No Lyrics,F
Higher Love,Kygo,87,Higher Love,2019,pop,0.69,0.68,8,-7.16,1,0.03,0.101,0.4,103.95,228,Andante,No Lyrics,"G♯,A♭"
Unlove You,Armin van Buuren,62,Unlove You,2019,pop,0.68,0.93,3,-3.66,0,0.06,0.143,0.66,116.89,150,Moderato,No Lyrics,"D♯,E♭"
bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019,pop,0.67,0.45,0,-11.27,1,0.3,0.117,0.68,135.06,195,Allegro,No Lyrics,C
Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019,pop,0.76,0.93,1,-4.1,0,0.06,0.0854,0.29,122.04,177,Allegro,No Lyrics,"C♯,D♭"
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019,pop,0.62,0.86,5,-7.63,1,0.06,0.0909,0.44,121.97,218,Allegro,No Lyrics,F
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),2019,pop,0.79,0.89,10,-4.36,0,0.17,0.221,0.41,121.96,144,Allegro,No Lyrics,"A♯,B♭"
Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019,pop,0.64,0.84,6,-4.2,1,0.04,0.0424,0.59,124.08,194,Allegro,No Lyrics,"F♯,G♭"
American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019,pop,0.61,0.76,5,-4.56,0,0.11,0.197,0.53,128.08,201,Allegro,No Lyrics,F
Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019,pop,0.64,0.99,4,-3.32,0,0.06,0.109,0.48,123.95,166,Allegro,No Lyrics,E
joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019,pop,0.75,0.81,0,-4.61,0,0.06,0.111,0.48,120.04,172,Allegro,No Lyrics,C
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019,pop,0.54,0.96,1,-3,0,0.03,0.262,0.12,127.98,267,Allegro,No Lyrics,"C♯,D♭"
Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019,pop,0.77,0.77,6,-9.11,1,0.06,0.113,0.3,140.04,204,Allegro,No Lyrics,"F♯,G♭"
Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019,pop,0.65,0.82,10,-4.95,0,0.05,0.0655,0.39,125.98,204,Allegro,No Lyrics,"A♯,B♭"
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018,pop,0.59,0.7,3,-4.74,0,0.04,0.103,0.22,125.16,190,Allegro,No Lyrics,"D♯,E♭"
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019,pop,0.36,0.79,5,-4.36,0,0.16,0.0355,0.17,80.44,238,Andante,No Lyrics,F
What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019,pop,0.54,0.84,0,-5.28,0,0.04,0.277,0.51,118.02,180,Moderato,No Lyrics,C
Cool Kids,Olympis,67,Cool Kids,2019,pop,0.74,0.5,8,-11.3,1,0.05,0.13,0.12,126.1,139,Allegro,No Lyrics,"G♯,A♭"
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019,pop,0.75,0.84,6,-4.45,0,0.04,0.0916,0.46,124,280,Allegro,No Lyrics,"F♯,G♭"
All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019,pop,0.75,0.9,3,-5.88,0,0.04,0.106,0.75,115.02,217,Moderato,No Lyrics,"D♯,E♭"
Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019,pop,0.61,0.96,7,-3.61,0,0.1,0.0725,0.5,125.98,230,Allegro,No Lyrics,G
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019,pop,0.61,1,9,-2.33,0,0.05,0.0445,0.66,125,189,Allegro,No Lyrics,A
With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019,pop,0.68,0.79,1,-6.92,0,0.13,0.224,0.47,126.09,197,Allegro,No Lyrics,"C♯,D♭"
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019,pop,0.71,0.8,5,-5.8,0,0.03,0.334,0.29,124.02,210,Allegro,No Lyrics,F
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018,pop,0.69,0.86,2,-4.15,1,0.09,0.238,0.45,121.97,188,Allegro,No Lyrics,D
Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019,pop,0.78,0.87,4,-7.39,0,0.2,0.0355,0.56,128.96,273,Allegro,No Lyrics,E
Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019,pop,0.81,0.84,11,-5.55,1,0.08,0.0185,0.96,121.98,256,Allegro,No Lyrics,B
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019,pop,0.78,0.78,8,-5.48,1,0.04,0.0245,0.46,124.99,217,Allegro,No Lyrics,"G♯,A♭"
Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019,pop,0.37,0.78,6,-4.5,1,0.15,0.0545,0.29,88.01,193,Andante,No Lyrics,"F♯,G♭"
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018,pop,0.61,0.83,6,-3.76,0,0.08,0.0321,0.6,117.83,238,Moderato,No Lyrics,"F♯,G♭"
Call You Mine,The Chainsmokers,39,World War Joy,2019,pop,0.59,0.7,7,-5.59,1,0.03,0.414,0.5,104,218,Andante,No Lyrics,G
Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019,pop,0.59,0.64,7,-3.87,1,0.12,0.105,0.65,107.36,174,Andante,No Lyrics,G
Here With Me,Marshmello,83,Here With Me,2019,pop,0.79,0.56,5,-3.93,0,0.04,0.156,0.18,99.96,156,Andante,No Lyrics,F
Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019,pop,0.56,0.75,5,-3.37,1,0.06,0.151,0.72,97.88,166,Andante,No Lyrics,F
Sixteen,Ellie Goulding,81,Sixteen,2019,pop,0.67,0.8,8,-5.45,1,0.14,0.0594,0.54,109.92,201,Moderato,No Lyrics,"G♯,A♭"
Never Really Over,Katy Perry,85,Never Really Over,2019,pop,0.77,0.88,8,-4.79,1,0.06,0.316,0.38,99.99,224,Andante,No Lyrics,"G♯,A♭"
All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019,pop,0.51,0.79,0,-4.63,1,0.04,0.11,0.23,139.99,238,Allegro,No Lyrics,C
I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019,pop,0.72,0.86,0,-3.25,1,0.21,0.16,0.66,96.05,192,Andante,No Lyrics,C
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019,pop,0.79,0.86,5,-4.39,1,0.04,0.335,0.49,110.01,173,Moderato,No Lyrics,F
All the Time,Zara Larsson,74,All the Time,2019,pop,0.66,0.8,6,-2.87,0,0.06,0.125,0.5,101.98,228,Andante,No Lyrics,"F♯,G♭"
What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019,pop,0.46,0.8,1,-3.58,1,0.05,0.121,0.55,102.46,220,Andante,No Lyrics,"C♯,D♭"
With You,Kaskade,71,With You,2019,pop,0.36,0.92,1,-3.82,0,0.49,0.19,0.53,172.19,181,Vivace,Mix of Lyrics & Beats,"C♯,D♭"
Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019,pop,0.69,0.83,8,-4.44,1,0.04,0.182,0.49,123.03,215,Allegro,No Lyrics,"G♯,A♭"
Not Ok,Kygo,73,Not Ok,2019,pop,0.62,0.66,11,-8.14,0,0.04,0.325,0.41,105,211,Andante,No Lyrics,B
Ruin My Life,Zara Larsson,79,Ruin My Life,2018,pop,0.66,0.7,11,-5.26,1,0.06,0.0969,0.58,124.9,191,Allegro,No Lyrics,B
I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018,pop,0.66,0.72,6,-4.86,1,0.06,0.123,0.6,119.93,198,Moderato,No Lyrics,"F♯,G♭"
Better With You,3LAU,63,Better With You,2019,pop,0.57,0.75,3,-4.87,1,0.03,0.114,0.25,102.04,193,Andante,No Lyrics,"D♯,E♭"
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019,pop,0.59,0.7,9,-6.52,0,0.08,0.131,0.27,121.8,215,Allegro,No Lyrics,A
Polaroid,Jonas Blue,16,Blue,2018,pop,0.65,0.9,7,-4.48,0,0.04,0.073,0.47,114.04,193,Moderato,No Lyrics,G
Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018,pop,0.71,0.86,10,-5.38,1,0.22,0.347,0.29,107.18,201,Andante,No Lyrics,"A♯,B♭"
In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019,pop,0.4,0.81,2,-4.75,1,0.05,0.114,0.11,148.04,221,Allegro,No Lyrics,D
I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019,pop,0.88,0.86,4,-3.88,1,0.05,0.457,0.68,121.99,185,Allegro,No Lyrics,E
SOS,Avicii,30,SOS,2019,pop,0.8,0.64,5,-6.18,0,0.07,0.119,0.38,100,157,Andante,No Lyrics,F
Harder,Jax Jones,62,Snacks,2019,pop,0.91,0.83,5,-3,0,0.07,0.152,0.75,104.03,160,Andante,No Lyrics,F
The Middle,Zedd,84,The Middle,2018,pop,0.75,0.66,7,-3.06,1,0.04,0.112,0.44,107.01,185,Andante,No Lyrics,G
Wanted,NOTD,70,Wanted,2019,pop,0.69,0.67,5,-4.45,1,0.07,0.0639,0.38,95.97,161,Andante,No Lyrics,F
Crash Into Me,Steve Aoki,37,Crash Into Me,2019,pop,0.67,0.82,1,-6.48,0,0.1,0.577,0.34,115.03,226,Moderato,No Lyrics,"C♯,D♭"
Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019,pop,0.58,0.76,0,-3.96,1,0.04,0.183,0.52,104.1,206,Andante,No Lyrics,C
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019,pop,0.64,0.59,2,-5.45,1,0.03,0.118,0.44,144.03,217,Allegro,No Lyrics,D
Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019,pop,0.67,0.88,9,-2.85,1,0.15,0.0793,0.23,98.99,178,Andante,No Lyrics,A
Nostalgic,A R I Z O N A,36,Nostalgic,2019,pop,0.69,0.54,0,-9.95,1,0.1,0.178,0.33,99.97,183,Andante,No Lyrics,C
Let It Be Me,Steve Aoki,52,Let It Be Me,2019,pop,0.66,0.76,7,-5.3,1,0.09,0.106,0.39,114.1,224,Moderato,No Lyrics,G
Lovers + Strangers,Starley,58,Lovers + Strangers,2019,pop,0.65,0.69,1,-5,1,0.08,0.136,0.65,110.21,179,Moderato,No Lyrics,"C♯,D♭"
Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019,pop,0.73,0.69,0,-6.47,1,0.04,0.341,0.55,110.02,154,Moderato,No Lyrics,C
Sleepless Nights,ayokay,64,In the Shape of a Dream,2018,pop,0.66,0.7,11,-5.99,1,0.03,0.226,0.45,139.98,198,Allegro,No Lyrics,B
Save Me Tonight,ARTY,63,Save Me Tonight,2019,pop,0.55,0.9,5,-3.28,0,0.05,0.137,0.41,125.85,170,Allegro,No Lyrics,F
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017,pop,0.7,0.87,7,-4.66,0,0.03,0.104,0.73,121.03,194,Allegro,No Lyrics,G
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019,pop,0.44,0.64,11,-6.38,1,0.03,0.121,0.33,128.13,207,Allegro,No Lyrics,B
Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),2017,pop,0.62,0.71,2,-4.76,1,0.03,0.213,0.48,138.06,248,Allegro,No Lyrics,D
Endless Summer,Cashae,56,Endless Summer,2019,pop,0.62,0.72,4,-5.54,1,0.06,0.0668,0.33,101.09,202,Andante,No Lyrics,E
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019,pop,0.55,0.8,8,-3.72,1,0.05,0.11,0.72,118.12,187,Moderato,No Lyrics,"G♯,A♭"
Think About You,Kygo,71,Think About You,2019,pop,0.67,0.6,10,-7.89,1,0.04,0.11,0.19,123.97,209,Allegro,No Lyrics,"A♯,B♭"
Party For One,Carly Rae Jepsen,64,Dedicated,2019,pop,0.7,0.63,6,-6.55,1,0.04,0.101,0.46,123.45,185,Allegro,No Lyrics,"F♯,G♭"
Ritual,Tiësto,82,Ritual,2019,pop,0.65,0.73,3,-4.39,0,0.06,0.0844,0.77,115,199,Moderato,No Lyrics,"D♯,E♭"
Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),2018,pop,0.59,0.67,0,-6.44,1,0.05,0.338,0.5,118.16,238,Moderato,No Lyrics,C
Lie,Shallou,41,Lie,2018,pop,0.66,0.43,2,-11.68,0,0.08,0.0788,0.22,107.99,215,Andante,No Lyrics,D
I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,2018,pop,0.79,0.86,6,-4.16,1,0.04,0.24,0.36,122.99,189,Allegro,No Lyrics,"F♯,G♭"
Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2019,pop,0.61,0.74,0,-5.15,0,0.05,0.107,0.57,124.17,200,Allegro,No Lyrics,C
All Comes Back To You,R3HAB,72,All Comes Back To You,2019,pop,0.73,0.76,4,-6.87,1,0.09,0.0943,0.52,128.02,160,Allegro,No Lyrics,E
Need U,DVBBS,24,Need U,2019,pop,0.71,0.7,10,-6.48,1,0.1,0.126,0.47,114.99,220,Moderato,No Lyrics,"A♯,B♭"
First Love,Lost Kings,58,First Love,2017,pop,0.62,0.94,5,-5.25,1,0.35,0.128,0.6,94.38,207,Andante,Mix of Lyrics & Beats,F
Something Real,Armin van Buuren,65,Something Real,2019,pop,0.57,0.81,1,-4.58,1,0.04,0.0693,0.23,127.92,180,Allegro,No Lyrics,"C♯,D♭"
TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019,pop,0.77,0.81,5,-1.82,1,0.11,0.343,0.66,119.97,166,Moderato,No Lyrics,F
Something About You (with Rudimental),Elderbrook,53,Distinction EP,2019,pop,0.77,0.6,6,-5.74,0,0.19,0.193,0.66,107.04,203,Andante,No Lyrics,"F♯,G♭"
Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019,pop,0.47,0.61,8,-4.86,0,0.03,0.132,0.24,128.11,239,Allegro,No Lyrics,"G♯,A♭"
Simple (STVW Remix),FANNYPACK,39,Simple (STVW Remix),2019,pop,0.43,0.92,9,-3.61,0,0.06,0.289,0.62,121.97,148,Allegro,No Lyrics,A
Sorry,Joel Corry,75,Sorry,2019,pop,0.74,0.79,8,-4.62,0,0.06,0.32,0.85,125,189,Allegro,No Lyrics,"G♯,A♭"
Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),2019,pop,0.84,0.82,8,-4.47,0,0.05,0.11,0.48,109.99,157,Moderato,No Lyrics,"G♯,A♭"
The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,2019,pop,0.51,0.86,2,-4.29,1,0.07,0.544,0.35,117.01,229,Moderato,No Lyrics,D
Stay,Zedd,79,Stay,2017,pop,0.69,0.62,5,-5.03,0,0.06,0.116,0.54,102.04,210,Andante,No Lyrics,F
Million Voices,Armin van Buuren,60,Balance,2019,pop,0.47,0.87,3,-4.28,1,0.05,0.115,0.18,126.11,187,Allegro,No Lyrics,"D♯,E♭"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018,pop,0.84,0.8,8,-4.17,0,0.23,0.0642,0.62,95.88,212,Andante,No Lyrics,"G♯,A♭"
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016,pop,0.75,0.52,8,-5.6,1,0.03,0.111,0.66,95.01,245,Andante,No Lyrics,"G♯,A♭"
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,2014,pop,0.65,0.62,9,-8.45,1,0.05,0.0616,0.48,115,243,Moderato,No Lyrics,A
Clarity,Zedd,74,Clarity,2012,pop,0.51,0.78,8,-3.48,1,0.07,0.0749,0.18,128,271,Allegro,No Lyrics,"G♯,A♭"
Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),2018,pop,0.74,0.64,11,-4.55,0,0.04,0.35,0.56,105,223,Andante,No Lyrics,B
Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,2017,pop,0.58,0.54,1,-7.79,0,0.06,0.261,0.2,137.97,221,Allegro,No Lyrics,"C♯,D♭"
Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),2017,pop,0.74,0.73,8,-5.34,1,0.04,0.304,0.62,104.98,189,Andante,No Lyrics,"G♯,A♭"
RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019,pop,0.72,0.72,10,-7.04,0,0.07,0.237,0.67,104.99,222,Andante,No Lyrics,"A♯,B♭"
